"Ville","Département","Région","Note"
"Aix-En-Provence","13","Provence-Alpes-Côte d'Azur",""
"Andrezieux-Boutheon","42","Auvergne-Rhône-Alpes",""
"Angers","49","Pays de la Loire",""
"Annecy","74","Auvergne-Rhône-Alpes",""
"Antibes","06","Provence-Alpes-Côte d'Azur",""
"Arles","13","Provence-Alpes-Côte d'Azur",""
"Arlon (drève de l'Arc-en-ciel 98)","","Wallonie","Belgique : commune de Arlon"
"Arlon (rue de l'Hydrion 50)","","Wallonie","Belgique : commune de Arlon"
"Aucamville","31","Occitanie","2 communes homonymes, la plus peuplée retenue (Haute-Garonne)"
"Auderghem","","Bruxelles","Belgique : commune de Auderghem"
"Auray","56","Bretagne",""
"Auvillar","82","Occitanie",""
"Avermes","03","Auvergne-Rhône-Alpes",""
"Avignon","84","Provence-Alpes-Côte d'Azur",""
"Bar-le-Duc","55","Grand Est",""
"Bastogne (place Mac Auliffe 38)","","Wallonie","Belgique : commune de Bastogne"
"Battice, Herve (rue de Waucomont 51)","","Wallonie","Belgique : commune de Battice"
"Belgique, Bruxelles","","Bruxelles","Région de Bruxelles-Capitale"
"Berre-L'Étang","13","Provence-Alpes-Côte d'Azur",""
"Bertrix","","Wallonie","Belgique : commune de Bertrix"
"Besançon","25","Bourgogne-Franche-Comté",""
"Blois","41","Centre-Val de Loire",""
"Bordeaux","33","Nouvelle-Aquitaine",""
"Bourbonne-les-Bains","52","Grand Est",""
"Bourg-En-Bresse","01","Auvergne-Rhône-Alpes",""
"Bourg-Lès-Valence","26","Auvergne-Rhône-Alpes",""
"Bourges","18","Centre-Val de Loire",""
"Bourgoin-Jallieu","38","Auvergne-Rhône-Alpes",""
"Brignoles","83","Provence-Alpes-Côte d'Azur",""
"Brumath","67","Grand Est",""
"Bruxelles","","Bruxelles","Belgique : commune de Bruxelles"
"Bruxelles (Evere)","","Bruxelles","Belgique : commune de Bruxelles"
"Bruxelles (Watermael-Boitsfort)","","Bruxelles","Belgique : commune de Bruxelles"
"Bruxelles (chaussée de La Hulpe 178)","","Bruxelles","Belgique : commune de Bruxelles"
"Bruxelles (rue de Stassart 35-39, 1050)","","Bruxelles","Belgique : commune de Bruxelles"
"Bruxelles (siège) + Enghien, Mons, Louvain-la-Neuve, Liège, Embourg","","Bruxelles","Belgique : commune de Bruxelles"
"Bruxelles et Charleroi (quai Arthur Rimbaud 6)","","Bruxelles","Belgique : commune de Bruxelles et Charleroi"
"Bruz","35","Bretagne",""
"Cabriès","13","Provence-Alpes-Côte d'Azur",""
"Caen","14","Normandie",""
"Cagnes-sur-Mer","06","Provence-Alpes-Côte d'Azur",""
"Caluire-et-Cuire","69","Auvergne-Rhône-Alpes",""
"Cantons de l'Est et Luxembourg","","Wallonie","Belgique : commune de Cantons de l'Est et Luxembourg"
"Carhaix-Plouguer","29","Bretagne",""
"Carros","06","Provence-Alpes-Côte d'Azur",""
"Carvin","62","Hauts-de-France",""
"Cavaillon","84","Provence-Alpes-Côte d'Azur",""
"Chambray-lès-Tours","37","Centre-Val de Loire",""
"Chambéry","73","Auvergne-Rhône-Alpes",""
"Charleroi (rue Santos Dumont 3)","","Wallonie","Belgique : commune de Charleroi"
